Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Volkswagen Golf R,Automatic,2000.0,Foreign Used,2017,4250000.0
Mercedes Benz G63,Automatic,5500.0,Foreign Used,2019,27200000.0
Volkswagen Golf GTI,Automatic,2000.0,Foreign Used,2017,3250000.0
Toyota Landcruiser,Automatic,3500.0,Foreign Used,2023,18766000.0
Audi A3,Automatic,2000.0,Foreign Used,2017,2735000.0
Toyota Prado,Automatic,2800.0,Foreign Used,2017,6544900.0
BMW 530i,Automatic,2000.0,Foreign Used,2017,4350600.0
Mercedes Benz C200,Automatic,2000.0,Foreign Used,2017,3570000.0
Toyota Prado,Automatic,2800.0,Foreign Used,2018,6666800.0
Subaru Forester,Automatic,2000.0,Kenyan Used,2006,999999.0
Honda Fit,Automatic,1500.0,Kenyan Used,2014,1080000.0
Audi A7,Automatic,2000.0,Foreign Used,2017,4420000.0
Jaguar XE SE,Automatic,2000.0,Foreign Used,2017,3470000.0
Mercedes Benz C200,Automatic,2000.0,Kenyan Used,2008,1499999.0
Toyota Harrier,Automatic,2500.0,Foreign Used,2017,3985000.0
Subaru Outback,Automatic,2500.0,Foreign Used,2018,3450000.0
Mazda Demio,Automatic,1500.0,Kenyan Used,2005,459999.0
Honda Vezel,Automatic,1500.0,Kenyan Used,2016,2299999.0
Nissan Murano,Automatic,3500.0,Kenyan Used,2011,1199999.0
Subaru Impreza,Automatic,2000.0,Kenyan Used,2014,1249999.0
Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,2511000.0
Volvo XC60,Automatic,2000.0,Foreign Used,2017,5710000.0
Peugeot  2008,Automatic,1200.0,Foreign Used,2017,1999999.0
Nissan GTR,Automatic,3800.0,Foreign Used,2018,18268140.0
BMW 740e,Automatic,2000.0,Foreign Used,2017,7254000.0
Subaru WRX S4,Automatic,2000.0,Foreign Used,2017,3450000.0
Peugeot 3008,Automatic,1600.0,Foreign Used,2017,3589000.0
Volkswagen Arteon,Automatic,2000.0,Foreign Used,2017,4469000.0
Mercedes Benz E220d,Automatic,2000.0,Foreign Used,2017,5310000.0
Mercedes Benz E220d,Automatic,2000.0,Foreign Used,2017,4610000.0
Audi A6,Automatic,2000.0,Foreign Used,2017,4397454.0
Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3540000.0
Toyota Landcruiser VX,Automatic,4200.0,Kenyan Used,2009,4799999.0
Subaru Outback,Automatic,2500.0,Kenyan Used,2013,1649999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2003,699999.0
Mercedes Benz C200,Automatic,2000.0,Kenyan Used,2014,3299999.0
Toyota Auris,Automatic,1200.0,Kenyan Used,2016,1899999.0
Audi Q5,Automatic,2000.0,Foreign Used,2018,5199999.0
Volkswagen Polo,Automatic,1600.0,Kenyan Used,2019,1499999.0
Mazda CX3,Automatic,1500.0,Foreign Used,2017,2299999.0
Ford Everest,Manual,2500.0,Kenyan Used,2014,1399999.0
Honda Fit,Automatic,1300.0,Kenyan Used,2016,1280000.0
Toyota Vitz,Automatic,1000.0,Kenyan Used,2012,799999.0
Nissan GTR,Automatic,3800.0,Foreign Used,2017,14400000.0
Porsche Cayenne,Automatic,3600.0,Kenyan Used,2008,1699999.0
Audi RSQ8,Automatic,4000.0,Foreign Used,2020,23300000.0
Audi TT RS,Automatic,2500.0,Foreign Used,2022,12680000.0
Audi TT RS,Automatic,2500.0,Foreign Used,2018,9918000.0
BMW X6m,Automatic,4400.0,Foreign Used,2023,24149000.0
BMW X5m,Automatic,4400.0,Foreign Used,2020,17453000.0
BMW X5m,Automatic,4400.0,Foreign Used,2018,12200000.0
BMW X5m,Automatic,4400.0,Foreign Used,2018,12340000.0
Toyota Mark X,Automatic,2500.0,Kenyan Used,2011,1249999.0
Audi A5,Automatic,2000.0,Kenyan Used,2015,2299999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2006,679999.0
Toyota Corolla 110,Automatic,1500.0,Kenyan Used,2000,399999.0
Nissan Note,Automatic,1200.0,Kenyan Used,2015,839999.0
Range Rover Sport SVR,Automatic,5000.0,Kenyan Used,2016,13499999.0
Bentley Bentayga,Automatic,6000.0,Kenyan Used,2017,26999999.0
Mazda Bongo,Automatic,2000.0,Kenyan Used,2010,599999.0
Nissan Note,Automatic,1200.0,Kenyan Used,2015,1099999.0
Subaru Forester,Automatic,2500.0,Foreign Used,2018,3899999.0
Audi Q5,Automatic,2000.0,Foreign Used,2017,5399999.0
Porsche Cayenne,Automatic,3000.0,Kenyan Used,2015,5999999.0
Mercedes Benz GLE350d,Automatic,3000.0,Foreign Used,2017,8499999.0
Audi S3,Automatic,2000.0,Foreign Used,2017,3449999.0
Mercedes Benz E220d,Automatic,2200.0,Foreign Used,2017,4749999.0
Toyota Premio,Automatic,1800.0,Foreign Used,2018,2299999.0
Audi Q3,Automatic,2000.0,Foreign Used,2017,3333444.0
Subaru XV,Automatic,2000.0,Foreign Used,2017,2412000.0
Mazda Axela,Manual,1500.0,Foreign Used,2017,2276780.0
Volkswagen Golf,Automatic,1400.0,Foreign Used,2017,2389000.0
BMW X7,Automatic,4400.0,Foreign Used,2020,15300000.0
Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,2330050.0
Audi A5,Automatic,2000.0,Foreign Used,2017,4333080.0
Suzuki Jimny,Automatic,1300.0,Foreign Used,2017,2345000.0
Audi RSQ8,Automatic,4000.0,Foreign Used,2022,33688074.0
Lamborghini Urus,Automatic,4000.0,Foreign Used,2021,62659000.0
Subaru Forester XT,Automatic,2000.0,Foreign Used,2017,3321000.0
Mercedes Benz GLS350d,Automatic,3000.0,Foreign Used,2017,11499999.0
Porsche Cayenne,Automatic,3600.0,Kenyan Used,2016,4799999.0
Mazda CX5,Automatic,2200.0,Foreign Used,2017,3564461.0
Mazda CX5,Automatic,2500.0,Foreign Used,2017,3181000.0
Jaguar XJ,Automatic,3000.0,Foreign Used,2017,8230000.0
Mercedes Benz S300h,Automatic,2200.0,Foreign Used,2017,6745000.0
Mini Clubman,Automatic,2000.0,Foreign Used,2017,1989000.0
