,Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age
816,Volkswagen Golf,Automatic,1400.0,Foreign Used,2017,2199999.0,Volkswagen,Golf,7
817,Toyota Axio,Automatic,1500.0,Kenyan Used,2014,1349999.0,Toyota,Axio,10
818,Bmw X6M,Automatic,4400.0,Foreign Used,2017,8685000.0,Bmw,X6M,7
819,Toyota Corolla Fielder,Automatic,1500.0,Foreign Used,2017,1845000.0,Toyota,Corolla Fielder,7
820,Hino Dutro,Manual,4000.0,Kenyan Used,2015,2349999.0,Hino,Dutro,9
821,Mercedes Benz Benz Benz C43 Cabriolet,Automatic,3000.0,Kenyan Used,2018,8980000.0,Mercedes Benz,Benz Benz C43 Cabriolet,6
822,Volkswagen Golf Gti Mk7.5,Automatic,2000.0,Foreign Used,2017,3510000.0,Volkswagen,Golf Gti Mk7.5,7
823,Honda Vezel Hybrid,Automatic,1500.0,Foreign Used,2017,2690000.0,Honda,Vezel Hybrid,7
824,Mazda Cx-3 Xd-L,Automatic,1500.0,Foreign Used,2017,2265000.0,Mazda,Cx-3 Xd-L,7
825,Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2018,3830000.0,Volkswagen,Tiguan,6
826,Nissan Dayz,Automatic,660.0,Foreign Used,2017,869999.0,Nissan,Dayz,7
827,Audi A5 Cabriolet,Automatic,2000.0,Foreign Used,2017,5120000.0,Audi,A5 Cabriolet,7
828,Toyota Auris,Automatic,1500.0,Foreign Used,2017,2100000.0,Toyota,Auris,7
829,Audi A3,Automatic,1400.0,Foreign Used,2017,2486000.0,Audi,A3,7
830,Volkswagen Passat,Manual,2000.0,Kenyan Used,2001,539999.0,Volkswagen,Passat,23
831,Audi S5 Sportback,Automatic,3000.0,Foreign Used,2017,5999999.0,Audi,S5 Sportback,7
832,Nissan Leaf S,Automatic,,Foreign Used,2018,2167000.0,Nissan,Leaf S,6
833,Lexus Lx 570,Automatic,5700.0,Foreign Used,2019,14300000.0,Lexus,Lx 570,5
834,Mazda Cx-5,Automatic,2500.0,Foreign Used,2018,3448000.0,Mazda,Cx-5,6
835,Volkswagen Tiguan Allspace,Automatic,1500.0,Foreign Used,2019,7250000.0,Volkswagen,Tiguan Allspace,5
836,Range Rover Sport Autobiography,Automatic,3000.0,Foreign Used,2018,13855280.0,Range Rover,Sport Autobiography,6
837,Volkswagen Tiguan,Automatic,2000.0,Kenyan Used,2008,1649999.0,Volkswagen,Tiguan,16
838,Volvo Xc60,Automatic,2000.0,Kenyan Used,2012,1549999.0,Volvo,Xc60,12
839,Bmw X5 Xdrive35D,Automatic,3000.0,Foreign Used,2018,7520000.0,Bmw,X5 Xdrive35D,6
840,Subaru Outback,Automatic,2500.0,Foreign Used,2018,4020000.0,Subaru,Outback,6
841,Bmw X1 Xdrive18Dx,Automatic,2000.0,Foreign Used,2017,2923000.0,Bmw,X1 Xdrive18Dx,7
842,Jaguar Xj,Automatic,3000.0,Foreign Used,2017,7595000.0,Jaguar,Xj,7
843,Mercedes Benz Benz Benz S560L,Automatic,4000.0,Foreign Used,2018,11591000.0,Mercedes Benz,Benz Benz S560L,6
844,Range Rover Sport Sdv6,Automatic,3000.0,Foreign Used,2018,11876700.0,Range Rover,Sport Sdv6,6
845,Toyota Landcruiser Zx,Automatic,4600.0,Foreign Used,2017,10549999.0,Toyota,Landcruiser Zx,7
846,Range Rover Vogue Autobiography,Automatic,4400.0,Foreign Used,2016,14999999.0,Range Rover,Vogue Autobiography,8
847,Range Rover Sport,Automatic,3000.0,Foreign Used,2018,12497400.0,Range Rover,Sport,6
848,Volkswagen Alltrack,Automatic,1800.0,Kenyan Used,2016,1999999.0,Volkswagen,Alltrack,8
849,Range Rover Vogue,Automatic,3000.0,Kenyan Used,2014,8499999.0,Range Rover,Vogue,10
850,Volvo Xc90,Automatic,2000.0,Foreign Used,2017,5679999.0,Volvo,Xc90,7
851,Mazda Cx5,Automatic,2200.0,Foreign Used,2017,3499999.0,Mazda,Cx5,7
852,Mazda Atenza,Automatic,2200.0,Foreign Used,2016,2299999.0,Mazda,Atenza,8
853,Subaru Impreza,Automatic,1600.0,Kenyan Used,2015,1549999.0,Subaru,Impreza,9
854,Toyota Carina,Automatic,1500.0,Kenyan Used,2002,449999.0,Toyota,Carina,22
855,Mercedes Benz Benz Amg Gle43,Automatic,3000.0,Foreign Used,2017,9499999.0,Mercedes Benz,Benz Amg Gle43,7
856,Mercedes Benz Benz Benz B180,Automatic,1600.0,Kenyan Used,2010,849999.0,Mercedes Benz,Benz Benz B180,14
857,Peugeot  2008,Automatic,1200.0,Foreign Used,2017,2149999.0,Peugeot, 2008,7
858,Suzuki Swift,Automatic,1200.0,Kenyan Used,2009,549999.0,Suzuki,Swift,15
859,Porsche Cayenne Gts,Automatic,3600.0,Foreign Used,2018,8356000.0,Porsche,Cayenne Gts,6
860,Mazda Cx5,Automatic,2200.0,Foreign Used,2017,3479999.0,Mazda,Cx5,7
861,Mitsubishi Pajero,Automatic,3200.0,Foreign Used,2019,6379999.0,Mitsubishi,Pajero,5
862,Nissan Leaf,Automatic,,Foreign Used,2018,2040800.0,Nissan,Leaf,6
863,Audi Sq5,Automatic,3000.0,Foreign Used,2018,5950000.0,Audi,Sq5,6
864,Lexus Lx600,Automatic,3500.0,Foreign Used,2022,21799999.0,Lexus,Lx600,2
865,Audi Rs7,Automatic,4000.0,Foreign Used,2017,9240200.0,Audi,Rs7,7
866,Audi A6,Automatic,2000.0,Foreign Used,2017,4297000.0,Audi,A6,7
867,Mercedes Benz Benz C180,Automatic,1600.0,Foreign Used,2017,4280000.0,Mercedes Benz,Benz C180,7
868,Volkswagen Arteon,Automatic,2000.0,Foreign Used,2017,3998000.0,Volkswagen,Arteon,7
869,Mercedes Benz Benz Amg E43,Automatic,3000.0,Foreign Used,2017,7349999.0,Mercedes Benz,Benz Amg E43,7
870,Subaru Outback,Automatic,2500.0,Foreign Used,2017,3500400.0,Subaru,Outback,7
871,Honda Accord,Automatic,2000.0,Foreign Used,2017,3489000.0,Honda,Accord,7
872,Toyota Axio,Automatic,1500.0,Foreign Used,2017,1837000.0,Toyota,Axio,7
873,Toyota Landcruiser Zx,Automatic,4600.0,Foreign Used,2017,10749999.0,Toyota,Landcruiser Zx,7
874,Toyota Landcruiser Prado Txl,Automatic,2700.0,Foreign Used,2017,5881999.0,Toyota,Landcruiser Prado Txl,7
875,Toyota Chr,Automatic,1200.0,Foreign Used,2017,2949999.0,Toyota,Chr,7
876,Toyota Estima,Automatic,2500.0,Foreign Used,2017,2480000.0,Toyota,Estima,7
877,Subaru Forester,Automatic,2000.0,Foreign Used,2017,3273999.0,Subaru,Forester,7
878,Audi A4,Automatic,2000.0,Foreign Used,2017,3624000.0,Audi,A4,7
879,ToyotaMark X,Automatic,2500.0,Foreign Used,2017,2657000.0,ToyotaMark,X,7
880,Mercedes Benz Benz Benz C180,Automatic,1600.0,Foreign Used,2017,3799999.0,Mercedes Benz,Benz Benz C180,7
881,Mercedes Benz Benz Gle350D,Automatic,3000.0,Foreign Used,2018,7199999.0,Mercedes Benz,Benz Gle350D,6
882,Mitsubishi Outlander,Automatic,2000.0,Foreign Used,2018,3599999.0,Mitsubishi,Outlander,6
883,Lexus Nx300H,Automatic,2500.0,Foreign Used,2017,4681000.0,Lexus,Nx300H,7
884,Mercedes Benz Benz Benz C250,Automatic,2000.0,Foreign Used,2017,4649999.0,Mercedes Benz,Benz Benz C250,7
885,Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3649999.0,Toyota,Harrier,7
886,Mazda Cx5,Automatic,2200.0,Foreign Used,2017,3299999.0,Mazda,Cx5,7
887,Bmw 318I,Automatic,2000.0,Kenyan Used,2003,679999.0,Bmw,318I,21
888,Audi A7,Automatic,2000.0,Kenyan Used,2016,4099999.0,Audi,A7,8
889,Bmw 550I,Automatic,4400.0,Kenyan Used,2012,2999999.0,Bmw,550I,12
890,Toyota Isis,Automatic,2000.0,Foreign Used,2017,1815999.0,Toyota,Isis,7
891,Bmw X6M Competition,Automatic,4400.0,Foreign Used,2017,8499999.0,Bmw,X6M Competition,7
892,Toyota Landcruiser Prado Tx-L,Automatic,2800.0,Foreign Used,2018,6666800.0,Toyota,Landcruiser Prado Tx-L,6
893,Suzuki Swift,Automatic,1200.0,Foreign Used,2017,1222000.0,Suzuki,Swift,7
894,Mazda Axela,Automatic,2200.0,Foreign Used,2017,2349999.0,Mazda,Axela,7
895,Toyota Noah,Automatic,2000.0,Foreign Used,2017,2529999.0,Toyota,Noah,7
896,Toyota Auris,Automatic,1500.0,Foreign Used,2017,1899999.0,Toyota,Auris,7
897,Mazda Demio,Automatic,1300.0,Foreign Used,2017,1349999.0,Mazda,Demio,7
