Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Mercedes Benz E280,Automatic,3000 CC,Kenyan Used,2008,"KES 1,349,999"
Mazda Roadster,Automatic,1500 CC,Foreign Used,2017,"KES 3,490,000"
Lexus RX450h,Automatic,3500 CC,Foreign Used,2017,"KES 5,800,000"
Lexus RX300,Automatic,2000 CC,Foreign Used,2018,"KES 5,374,000"
LEXUS LX 570,Automatic,5700 CC,Foreign Used,2017,"KES 13,200,000"
Mazda Atenza,Automatic,2200 CC,Foreign Used,2017,"KES 2,499,999"
Audi Q7,Automatic,3000 CC,Foreign Used,2018,"KES 7,300,000"
Audi Q5,Automatic,2000 CC,Foreign Used,2018,"KES 4,690,000"
Mercedes Benz GLS 400d,Automatic,2900 CC,Foreign Used,2020,"KES 15,300,000"
Lexus LX 570,Automatic,5700 CC,Foreign Used,2018,"KES 13,775,000"
Suzuki Swift RS,Manual,1200 CC,Foreign Used,2017,"KES 1,280,000"
Landrover Discovery V,Automatic,2993 CC,Foreign Used,2020,"KES 10,800,000"
Mercedes Benz GLE 350d,Automatic,3000 CC,Foreign Used,2017,"KES 8,350,000"
Audi RS6,Automatic,4000 CC,Foreign Used,2017,"KES 14,482,000"
Porsche Cayenne GTS,Automatic,3600 CC,Foreign Used,2017,"KES 9,989,981"
Subaru Forester XT,Manual,2000 CC,Kenyan Used,2013,"KES 1,879,999"
Suzuki Wagon R,Automatic,660 CC,Kenyan Used,2015,"KES 799,999"
Audi Q8,Automatic,3000 CC,Foreign Used,2019,"KES 14,523,000"
Toyota Crown Athlete,Automatic,3500 CC,Foreign Used,2017,"KES 3,980,000"
Toyota Mark X,Automatic,2500 CC,Foreign Used,2017,"KES 2,483,000"
Porsche Cayenne,Automatic,3600 CC,Kenyan Used,2017,"KES 6,799,999"
Toyota Allion,Automatic,1500 CC,Kenyan Used,2015,"KES 1,399,999"
Toyota Alphard,Automatic,2400 CC,Kenyan Used,2017,"KES 4,699,999"
Toyota Hilux,Manual,2500 CC,Kenyan Used,2013,"KES 2,249,999"
Nissan Note,Automatic,1500 CC,Kenyan Used,2011,"KES 659,999"
Lexus LX600,Automatic,3500 CC,Foreign Used,2023,"KES 23,900,000"
Mercedes Benz GLE 350d,Automatic,3000 CC,Foreign Used,2018,"KES 8,090,000"
Mazda CX5,Automatic,2500 CC,Foreign Used,2017,"KES 3,490,500"
Mercedes Benz GLC 250,Automatic,2140 CC,Foreign Used,2018,"KES 6,210,000"
Toyota Rav4,Automatic,2500 CC,Foreign Used,2019,"KES 4,999,000"
Mercedes Benz AMG C63,Automatic,4000 CC,Foreign Used,2017,"KES 9,799,999"
Mercedes Benz G350d,Automatic,3000 CC,Foreign Used,2019,"KES 14,900,000"
Nissan Xtrail,Automatic,2000 CC,Foreign Used,2017,"KES 3,100,000"
Subaru Outback,Automatic,2500 CC,Foreign Used,2017,"KES 3,800,000"
BMW X7,Automatic,3000 CC,Foreign Used,2019,"KES 11,690,000"
Volkswagen Golf R,Automatic,2000 CC,Foreign Used,2017,"KES 4,250,000"
Mercedes Benz G63,Automatic,5500 CC,Foreign Used,2019,"KES 27,200,000"
Volkswagen Golf GTI,Automatic,2000 CC,Foreign Used,2017,"KES 3,250,000"
Toyota Landcruiser,Automatic,3500 CC,Foreign Used,2023,"KES 18,766,000"
Audi A3,Automatic,2000 CC,Foreign Used,2017,"KES 2,735,000"
Toyota Prado,Automatic,2800 CC,Foreign Used,2017,"KES 6,544,900"
BMW 530i,Automatic,2000 CC,Foreign Used,2017,"KES 4,350,600"
Mercedes Benz C200,Automatic,2000 CC,Foreign Used,2017,"KES 3,570,000"
Toyota Prado,Automatic,2800 CC,Foreign Used,2018,"KES 6,666,800"
Subaru Forester,Automatic,2000 CC,Kenyan Used,2006,"KES 999,999"
Honda Fit,Automatic,1500 CC,Kenyan Used,2014,"KES 1,080,000"
Audi A7,Automatic,2000 CC,Foreign Used,2017,"KES 4,420,000"
Jaguar XE SE,Automatic,2000 CC,Foreign Used,2017,"KES 3,470,000"
